a0001,a0003,a0005,a0007,class
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,1
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
1,1,0,0,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
0,0,1,1,2
